slurm-15377633_72.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_1.txt,5,5,2,Binary,0,7200,Feasible,TimeLimit,433.94,444.26,4,6,6343.32,855.101
slurm-15377633_73.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_2.txt,5,5,1,Continuous,0,7222.41,Loaded,TimeLimit,291.59,365.4,63,66,1862.69,5352.95
slurm-15377633_75.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_2.txt,5,5,1,Binary,0,1.0278,Optimal,Proved,387.99,387.99,2,4,0.341532,0.503406
slurm-15377633_78.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_2.txt,5,5,2,Binary,0,425.054,Optimal,Proved,532.66,532.66,6,8,61.5278,362.969
slurm-15377633_79.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_3.txt,5,5,1,Continuous,0,132.086,InfOrUnbnd,Proved,181.38,204.42,7,9,2.62761,129.264
slurm-15377633_81.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_3.txt,5,5,1,Binary,0,5.82238,Optimal,Proved,193.7,193.7,2,4,0.349187,5.36558
slurm-15377633_82.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_3.txt,5,5,2,Continuous,0,7342.5,Loaded,TimeLimit,305.46,338.84,50,53,27.7027,7310.64
slurm-15377633_84.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_3.txt,5,5,2,Binary,0,7200,Feasible,TimeLimit,223.1,1e+20,3,5,7197.85,2.12705
slurm-15377633_85.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_4.txt,5,5,1,Continuous,0,3761.48,Optimal,Proved,364.13,364.13,13,15,147.991,3613.16
slurm-15377633_87.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_4.txt,5,5,1,Binary,0,0.689921,Optimal,Proved,357.69,357.69,1,3,0.063881,0.602127
slurm-15377633_88.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_4.txt,5,5,2,Continuous,0,7228.61,Loaded,TimeLimit,579.01,599.499,25,27,529.818,6697.7
slurm-15377633_90.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_150_4.txt,5,5,2,Binary,0,12.0912,Infeasible,Proved,449.09,1e+20,3,5,9.21594,2.8477
slurm-15377633_91.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_0.txt,5,5,1,Continuous,0,7453.19,Loaded,TimeLimit,176.362,203.22,8,11,8.01566,7445.03
slurm-15377633_93.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_0.txt,5,5,1,Binary,0,7.808,Optimal,Proved,183.92,183.92,1,3,5.06803,2.69233
slurm-15377633_94.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_0.txt,5,5,2,Continuous,0,7504.62,Loaded,TimeLimit,314.66,1e+20,16,19,96.7135,7407.54
slurm-15377633_95.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_0.txt,5,5,2,Continuous,1,7276.81,Loaded,TimeLimit,303.38,1e+20,14,17,86.941,7189.44
slurm-15377633_96.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_0.txt,5,5,2,Binary,0,1687.99,Optimal,Proved,343.34,343.34,4,6,1541.8,146.041
slurm-15377633_97.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_1.txt,5,5,1,Continuous,0,4645.68,InfOrUnbnd,Proved,194.091,201.9,75,77,523.521,4115.21
slurm-15377633_99.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_5_200_1.txt,5,5,1,Binary,0,14.8435,Optimal,Proved,240.5,240.5,2,4,7.96222,6.82663
slurm-15377633_9.out:result,/home/utr_lefebvre/wait-and-see-follower/code//FLP/data/instance_5_10_150_1.txt,10,5,1,Binary,0,3585.25,Optimal,Proved,376.46,376.46,1,3,1955.18,1628.69
