instance_name,n,p,k,ntoll,seed,method,upper_level_objective,total_time,iterations,objective_value,fail
n5_p28_k2_ntoll25_seed47,5,28,2,25,47,enhanced,nonlinear,0.02237701416015625,1,20.0,
n4_p31_k2_ntoll18_seed86,4,31,2,18,86,consensus,nonlinear,0.0031342506408691406,0,0,
n4_p31_k2_ntoll18_seed86,4,31,2,18,86,enhanced,nonlinear,0.0038390159606933594,0,0,
n5_p40_k1_ntoll24_seed82,5,40,1,24,82,consensus,nonlinear,0.0029997825622558594,0,0.0,
n5_p40_k1_ntoll24_seed82,5,40,1,24,82,enhanced,nonlinear,0.0036449432373046875,0,0.0,
n4_p37_k3_ntoll18_seed21,4,37,3,18,21,consensus,nonlinear,0.004163026809692383,0,0,
n4_p37_k3_ntoll18_seed21,4,37,3,18,21,enhanced,nonlinear,0.005009889602661133,0,0,
n5_p32_k2_ntoll25_seed89,5,32,2,25,89,consensus,nonlinear,0.047827959060668945,1,3.9313118807917737,
n5_p32_k2_ntoll25_seed89,5,32,2,25,89,enhanced,nonlinear,0.02246689796447754,1,10.0,
n4_p30_k1_ntoll18_seed5,4,30,1,18,5,consensus,nonlinear,0.0016529560089111328,0,0,
n4_p30_k1_ntoll18_seed5,4,30,1,18,5,enhanced,nonlinear,0.0021779537200927734,0,0,
n5_p32_k2_ntoll16_seed28,5,32,2,16,28,consensus,nonlinear,0.07072687149047852,0,0.0,
n5_p32_k2_ntoll16_seed28,5,32,2,16,28,enhanced,nonlinear,0.9805679321289062,101,0.7717751440141896,
n5_p26_k3_ntoll22_seed51,5,26,3,22,51,consensus,nonlinear,0.1493701934814453,1,3.827466144094211,
n5_p26_k3_ntoll22_seed51,5,26,3,22,51,enhanced,nonlinear,0.050438880920410156,1,10.0,
n5_p24_k2_ntoll17_seed32,5,24,2,17,32,consensus,nonlinear,0.09760689735412598,1,3.93247786723502,
n5_p24_k2_ntoll17_seed32,5,24,2,17,32,enhanced,nonlinear,1.5975897312164307,88,4.782772789593804,
n5_p38_k2_ntoll24_seed52,5,38,2,24,52,consensus,nonlinear,0.007238864898681641,0,0.0,
n5_p38_k2_ntoll24_seed52,5,38,2,24,52,enhanced,nonlinear,0.006915092468261719,0,0.0,
n5_p27_k1_ntoll23_seed64,5,27,1,23,64,consensus,nonlinear,0.028773069381713867,0,0.0,
