"total_time","ecdf_value"
1557.61261261261,30
1568.42242242242,30
1579.23223223223,30.3125
1590.04204204204,30.3125
1600.85185185185,30.3125
1611.66166166166,30.3125
1622.47147147147,30.3125
1633.28128128128,30.3125
1644.09109109109,30.3125
1654.9009009009,30.3125
1665.71071071071,30.3125
1676.52052052052,30.3125
1687.33033033033,30.3125
1698.14014014014,30.3125
1708.94994994995,30.3125
1719.75975975976,30.3125
1730.56956956957,30.3125
1741.37937937938,30.3125
1752.18918918919,30.625
1762.998998999,30.625
1773.80880880881,30.625
1784.61861861862,30.625
1795.42842842843,30.625
1806.23823823824,30.625
1817.04804804805,30.625
1827.85785785786,30.625
1838.66766766767,30.9375
1849.47747747748,30.9375
1860.28728728729,30.9375
1871.0970970971,30.9375
1881.90690690691,30.9375
1892.71671671672,30.9375
1903.52652652653,30.9375
1914.33633633634,30.9375
1925.14614614615,30.9375
1935.95595595596,30.9375
1946.76576576577,30.9375
1957.57557557558,30.9375
1968.38538538539,30.9375
1979.1951951952,31.25
1990.005005005,31.25
2000.81481481481,31.25
2011.62462462462,31.25
2022.43443443443,31.875
2033.24424424424,31.875
2044.05405405405,31.875
2054.86386386386,31.875
2065.67367367367,31.875
2076.48348348348,31.875
2087.29329329329,31.875
2098.1031031031,32.1875
2108.91291291291,32.1875
2119.72272272272,32.1875
2130.53253253253,32.1875
2141.34234234234,32.1875
2152.15215215215,32.1875
2162.96196196196,32.1875
2173.77177177177,32.5
2184.58158158158,32.5
2195.39139139139,32.5
2206.2012012012,32.5
2217.01101101101,32.5
2227.82082082082,32.5
2238.63063063063,32.5
2249.44044044044,32.5
2260.25025025025,32.5
2271.06006006006,32.5
2281.86986986987,32.5
2292.67967967968,32.5
2303.48948948949,32.5
2314.2992992993,32.5
2325.10910910911,32.5
2335.91891891892,32.8125
2346.72872872873,32.8125
2357.53853853854,33.125
2368.34834834835,33.125
2379.15815815816,33.125
2389.96796796797,33.4375
2400.77777777778,33.4375
2411.58758758759,33.4375
2422.3973973974,33.4375
2433.20720720721,33.4375
2444.01701701702,33.4375
2454.82682682683,33.4375
2465.63663663664,33.4375
2476.44644644645,33.4375
2487.25625625626,33.4375
2498.06606606607,33.4375
2508.87587587588,33.75
2519.68568568569,33.75
2530.4954954955,33.75
2541.30530530531,33.75
2552.11511511512,33.75
2562.92492492493,33.75
2573.73473473473,33.75
2584.54454454454,33.75
2595.35435435435,33.75
2606.16416416416,34.0625
2616.97397397397,34.0625
2627.78378378378,34.0625
2638.59359359359,34.0625
2649.4034034034,34.0625
2660.21321321321,34.0625
2671.02302302302,34.0625
2681.83283283283,34.0625
2692.64264264264,34.0625
