47.,357,GODET Jonas,flags/fra.png,1290195,1560373,986640,Finish,3:12:10,-,13.174,10,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=357,357,,,,
48.,336,MULLER Matthieu,flags/bel.png,1319983,1594229,972992,Finish,3:12:36,-,13.144,9,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=336,336,,,,
49.,160,VERBEKE Wouter,flags/bel.png,1249248,1517681,978201,Finish,3:12:51,-,13.127,10,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=160,160,,,,
50.,1159,DARCIS Gilles,flags/bel.png,1339482,1586050,1030490,Finish,3:13:36,-,13.077,14,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1159,1159,,,,
51.,1234,HULIN Guy,flags/bel.png,1339598,1584238,1031231,Finish,3:13:36,-,13.076,15,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1234,1234,,,,
52.,1613,GRAHAM Hedger,flags/gbr.png,1270252,1536592,1016684,Finish,3:13:39,-,13.073,2,M60,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1613,1613,,,,
53.,34,GYSEMANS Kenny,flags/bel.png,1337678,1624048,1011441,Finish,3:13:39,-,13.073,11,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=34,34,,BAC FRIENDS & FAMILY,,
54.,1009,FANT Anthony,flags/bel.png,1330837,1567810,1001634,Finish,3:13:46,-,13.065,16,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1009,1009,,,,
55.,625,VERBRUGGE Mathieu,flags/fra.png,1237714,1495999,1057309,Finish,3:13:53,-,13.057,12,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=625,625,,,,
56.,1192,VERDOODT Hans,flags/bel.png,1167500,1433628,994553,Finish,3:14:00,-,13.049,17,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1192,1192,,,,
57.,317,DEFOORT Ruben,flags/bel.png,1402436,1661199,1037814,Finish,3:14:03,-,13.046,5,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=317,317,,,,
58.,64,COMBES Carl-Philippe,flags/bel.png,1350006,1627869,990279,Finish,3:14:10,-,13.038,11,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=64,64,,BRUSSELS AIRLINES,,
59.,1884,LEJEUNE Thomas,flags/bel.png,1388561,1607053,1021788,Finish,3:14:26,-,13.021,18,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1884,1884,,,,
60.,1667,BERRESHEIM Laurin,flags/ger.png,1236663,1511987,1007727,Finish,3:14:29,-,13.017,13,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1667,1667,,,,
61.,549,O\'BRIEN Mark,flags/gbr.png,1371217,1589189,1424304,Finish,3:14:29,-,13.017,19,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=549,549,,,,
62.,1686,HAIDER Benyamin,flags/bel.png,1337888,1564175,1019442,Finish,3:14:31,-,13.014,6,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1686,1686,,,,
63.,1663,HELBER Bernd,flags/ger.png,1403467,1657222,1019842,Finish,3:14:59,-,12.984,12,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1663,1663,,,,
64.,799,BACHELET Julien,flags/fra.png,1334585,1628126,1043590,Finish,3:15:15,-,12.966,14,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=799,799,,,,
65.,1855,GUETTI Laurent,flags/lux.png,1286891,1560337,1045567,Finish,3:15:41,-,12.937,13,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1855,1855,,,,
66.,1395,LELUBRE Gaëtan,flags/bel.png,1232703,1522158,1000709,Finish,3:15:50,-,12.928,7,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1395,1395,,,,
67.,567,JOHNSTON Ian,flags/irl.png,1347124,1598314,1053908,Finish,3:16:07,-,12.909,8,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=567,567,,,,
68.,1005,SNYDERS Luc,flags/bel.png,1379430,1642371,1016019,Finish,3:16:11,-,12.904,3,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1005,1005,,,,
69.,585,DREWNICKA_OGRODNIK Joanna,flags/pol.png,1355252,1653448,1011215,Finish,3:16:42,-,12.870,1,F55,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=585,585,cr-pink,,,
70.,168,DANTINNE Pierre-Henry,flags/bel.png,1388937,1662653,1028501,Finish,3:16:56,-,12.855,9,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=168,168,,,,
71.,1053,DELESTREES Jean-Christophe,flags/fra.png,1298374,1579965,1059287,Finish,3:17:03,-,12.847,14,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1053,1053,,,,
72.,1567,MAISTRIAUX Arthur,flags/bel.png,1404804,1637870,1024788,Finish,3:17:21,-,12.828,10,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1567,1567,,,,
73.,313,FROIDURE Antoine,flags/bel.png,1346443,1628133,1042279,Finish,3:17:26,-,12.823,15,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=313,313,,,,
74.,929,MICHIELS Manuel,flags/bel.png,1285318,1557728,1025823,Finish,3:17:34,-,12.813,16,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=929,929,,,,
75.,838,JANSSEN Maurice,flags/ned.png,1234696,1515532,1464059,Finish,3:17:52,-,12.794,3,M50,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=838,838,,,,
76.,1401,SLAVICEK Benoit,flags/fra.png,1317076,1602962,1142255,Finish,3:18:29,-,12.755,17,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1401,1401,,,,
77.,186,SHRIMPTON Nicholas,flags/gbr.png,1379747,1655457,1021200,Finish,3:18:30,-,12.753,15,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=186,186,,,,
78.,1719,THIELS Lucas,flags/bel.png,1257921,1525970,1064114,Finish,3:18:36,-,12.747,6,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1719,1719,,,,
79.,1254,COLLIN Tom,flags/bel.png,1332991,1601119,975085,Finish,3:18:46,-,12.736,11,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1254,1254,,,,
80.,579,PETERS Jasper,flags/bel.png,1387014,1633342,1021914,Finish,3:18:50,-,12.732,12,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=579,579,,,,
81.,194,DE PETTER Peter,flags/bel.png,1320428,1618319,999760,Finish,3:18:58,-,12.724,3,M60,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=194,194,,,,
82.,66,SALENS Annelore,flags/bel.png,1386923,1665275,1030367,Finish,3:19:05,-,12.716,1,F40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=66,66,cr-pink,BRUSSELS AIRLINES,,
83.,1683,DE GRAVE Maxime,flags/bel.png,1344498,1604756,1033744,Finish,3:19:18,-,12.702,7,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1683,1683,,,,
84.,29,DE HENAU Sven,flags/bel.png,1402929,1665252,1030679,Finish,3:19:31,-,12.689,18,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=29,29,,BAC PERSONEEL,,
85.,23,VANHAERENTS Renier,flags/bel.png,1475111,1714124,1022696,Finish,3:19:46,-,12.673,16,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=23,23,,EAW_DELOITTE,,
86.,855,SINZIG Bruno,flags/sui.png,1327035,1601533,1033462,Finish,3:19:51,-,12.667,19,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=855,855,,,,
87.,283,CLOETENS Kevin,flags/bel.png,1376841,1628237,1056473,Finish,3:19:54,-,12.665,20,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=283,283,,,,
88.,947,JACQUEMIN Maximilien,flags/bel.png,1377639,1674603,1020256,Finish,3:20:09,-,12.649,13,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=947,947,,,,
89.,578,MULLER Jordan,flags/fra.png,1324695,1599495,1054604,Finish,3:20:13,-,12.644,17,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=578,578,,,,
90.,446,STRAUME Olav,flags/nor.png,1267013,1560888,1088586,Finish,3:20:20,-,12.637,14,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=446,446,,,,
91.,1632,SIMON Skog Sand,flags/swe.png,1349656,1644053,1038668,Finish,3:20:28,-,12.629,8,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1632,1632,,,,
92.,1002,MALMBERG Sara,flags/fin.png,1377639,1648794,1024806,Finish,3:20:29,-,12.627,2,F35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1002,1002,cr-pink,,,
93.,977,NORMAND Emmanuel,flags/fra.png,1386663,1640489,1039691,Finish,3:20:29,-,12.627,18,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=977,977,,,,
94.,582,KONSTANTINIDIS Konstantinos,flags/grc.png,1292444,1538029,987542,Finish,3:21:03,-,12.592,21,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=582,582,,,,
95.,1112,LEPOUTRE Matthieu,flags/fra.png,1387411,1635095,1053184,Finish,3:21:28,-,12.565,4,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1112,1112,,,,
96.,1162,TURVEY Jack,flags/gbr.png,1264484,1516904,969297,Finish,3:21:54,-,12.538,15,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1162,1162,,,,
97.,1197,BOROVSKY Pavol,flags/svk.png,1371241,1619053,1008726,Finish,3:22:13,-,12.520,5,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1197,1197,,,,
98.,691,LABAR Fabian,flags/bel.png,1459127,1620913,1030369,Finish,3:22:14,-,12.519,20,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=691,691,,,,
99.,338,JORAND Elie,flags/fra.png,1301141,1590879,1040642,Finish,3:22:17,-,12.515,4,M50,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=338,338,,,,
100.,1345,DECAMP Michaël,flags/bel.png,1389334,1678723,1050983,Finish,3:22:21,-,12.511,22,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1345,1345,,,,
101.,415,VRANKEN Rein,flags/bel.png,1426105,1614452,1038340,Finish,3:22:35,-,12.497,19,M30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=415,415,,,,
102.,1697,GIUSTI Albane,flags/fra.png,1434253,1720760,1077865,Finish,3:23:19,-,12.452,1,F25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1697,1697,cr-pink,,,
103.,33,DE CAUTER Kristof,flags/bel.png,1278218,1621919,1208141,Finish,3:23:23,-,12.448,23,M35,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=33,33,,BAC PERSONEEL,,
104.,1431,VAN OOSTEROM Rik,flags/ned.png,1567549,1375602,0,Finish,3:23:35,-,12.435,6,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1431,1431,,,,
105.,172,SECONDE Maud,flags/bel.png,1456549,1607953,1012198,Finish,3:23:41,-,12.429,1,F30,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=172,172,cr-pink,,,
106.,1520,VAN DEN WYNGAERT Christophe,flags/bel.png,1314498,1585565,1048544,Finish,3:23:42,-,12.428,21,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1520,1520,,,,
107.,1873,HENROTTE Hans,flags/bel.png,1387248,1631762,1106069,Finish,3:23:45,-,12.425,7,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1873,1873,,,,
108.,1622,JOUVENEAUX Tom,flags/fra.png,1460374,1715074,1070548,Finish,3:24:07,-,12.403,9,M20,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1622,1622,,,,
109.,370,PROVOST Emile,flags/bel.png,1473059,1754452,1081488,Finish,3:24:16,-,12.394,1,ESH,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=370,370,,,,
110.,864,VERHOEST Willem,flags/bel.png,1264674,1517755,940899,Finish,3:24:24,-,12.386,16,M25,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=864,864,,,,
111.,367,NISHIMOTO Hiroshi,flags/jpn.png,1332031,1672734,1082265,Finish,3:24:28,-,12.382,8,M45,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=367,367,,,,
112.,1388,FERNANDO Cyril,flags/fra.png,1472466,1747142,1081834,Finish,3:24:30,-,12.380,22,M40,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=1388,1388,,,,
113.,701,VOLPI Giulio,flags/ita.png,1312388,1634548,1061660,Finish,3:24:31,-,12.378,5,M50,LINK:https://prod.chronorace.be/mypage/mypage.aspx?lng=EN&eventId=2159324872861481&bibnumber=701,701,,,,
