slurm-15878126_1086.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-3.aux,PADM,adapt,2,100,5.76464,Feasible,Proved,1361,1,3,1361,-2722,1361
slurm-15878126_1088.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-4.aux,PADM,adapt,2,100,3.06597,Feasible,Proved,1808,1,3,1808,-3616,1808
slurm-15878126_108.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/ex10_50_50.aux,PADM,adapt,2,100,3600.45,Infeasible,TimeLimit,1e+20,1,1,8840,-17680,8840
slurm-15878126_1090.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-5.aux,PADM,adapt,2,100,0.087786,Feasible,Proved,2255,1,3,2255,-4510,2255
slurm-15878126_1092.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-6.aux,PADM,adapt,2,100,0.815274,Feasible,Proved,2682,1,3,2682,-5364,2682
slurm-15878126_1094.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-7.aux,PADM,adapt,2,100,0.303589,Feasible,Proved,3109,1,3,3109,-6218,3109
slurm-15878126_1096.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-8.aux,PADM,adapt,2,100,0.106038,Feasible,Proved,3526,1,3,3526,-7052,3526
slurm-15878126_1098.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-4-9.aux,PADM,adapt,2,100,0.115696,Feasible,Proved,3923,1,3,3923,-7846,3923
slurm-15878126_10.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-general/air04_0_100.aux,PADM,adapt,2,100,3600.19,Infeasible,TimeLimit,1e+20,1,1,74914,-149828,74914
slurm-15878126_1100.out:result,/home/utr_lefebvre/counterfactual-new/code/bobilib/data//binary-linking-interdiction/interKP-100-100-5-10.aux,PADM,adapt,2,100,0.079521,Feasible,Proved,5660,1,3,5660,-11320,5660
