"","x","1","2"
"1945",1.885476,,0.480830670926518
"1946",1.886667,0.472472924187726,
"1947",1.889709,,0.48136315228967
"1948",1.892081,,0.481895633652822
"1949",1.894416,,0.482428115015974
"1950",1.898845,,0.482960596379127
"1951",1.902488,0.472924187725632,
"1952",1.907013,,0.483493077742279
"1953",1.908123,0.473375451263538,
"1954",1.910408,,0.484025559105431
"1955",1.912113,0.473826714801444,
"1956",1.912716,0.47427797833935,
"1957",1.913309,,0.484558040468584
"1958",1.916861,,0.485090521831736
"1959",1.919183,,0.485623003194888
"1960",1.91934,,0.48615548455804
"1961",1.919437,,0.486687965921193
"1962",1.921923,,0.487220447284345
"1963",1.928114,,0.487752928647497
"1964",1.930419,,0.48828541001065
"1965",1.935833,,0.488817891373802
"1966",1.936666,,0.489350372736954
"1967",1.936994,,0.489882854100107
"1968",1.938778,,0.490415335463259
"1969",1.944318,,0.490947816826411
"1970",1.948616,,0.491480298189563
"1971",1.952402,,0.492012779552716
"1972",1.953747,,0.492545260915868
"1973",1.953848,,0.49307774227902
"1974",1.959765,0.474729241877256,
"1975",1.965792,0.475180505415162,
"1976",1.966703,,0.493610223642172
"1977",1.97135,,0.494142705005325
"1978",1.971865,,0.494675186368477
"1979",1.972744,,0.495207667731629
"1980",1.97429,,0.495740149094782
"1981",1.976281,0.475631768953069,
"1982",1.98483,,0.496272630457934
"1983",1.985514,,0.496805111821086
"1984",1.987195,,0.497337593184239
"1985",1.989031,,0.497870074547391
"1986",1.992512,,0.498402555910543
"1987",1.995649,,0.498935037273695
"1988",1.996347,,0.499467518636848
"1989",1.996434,0.476083032490975,
"1990",1.99737,,0.5
"1991",1.997961,,0.500532481363152
"1992",2.00336,0.476534296028881,
"1993",2.00412,0.476985559566787,
"1994",2.00653,,0.501064962726305
"1995",2.01084,,0.501597444089457
"1996",2.0131,,0.502129925452609
"1997",2.01398,0.477436823104693,
"1998",2.01773,,0.502662406815761
"1999",2.02087,,0.503194888178914
"2000",2.02474,,0.503727369542066
"2001",2.02748,0.477888086642599,
"2002",2.03292,,0.504259850905218
"2003",2.03368,0.478339350180505,
"2004",2.04128,,0.504792332268371
"2005",2.0479,,0.505324813631523
"2006",2.04806,,0.505857294994675
"2007",2.04844,,0.506389776357827
"2008",2.0605,0.478790613718412,
"2009",2.06431,,0.50692225772098
"2010",2.06535,,0.507454739084132
"2011",2.06746,0.479241877256318,
"2012",2.07431,,0.507987220447284
"2013",2.07941,,0.508519701810437
"2014",2.07958,,0.509052183173589
"2015",2.08874,,0.509584664536741
"2016",2.09111,,0.510117145899894
"2017",2.09898,,0.510649627263046
"2018",2.11007,,0.511182108626198
"2019",2.11136,,0.51171458998935
"2020",2.11412,0.479693140794224,
"2021",2.11666,,0.512247071352503
"2022",2.11689,0.48014440433213,
"2023",2.11951,,0.512779552715655
"2024",2.12603,,0.513312034078807
"2025",2.1283,,0.51384451544196
"2026",2.13123,,0.514376996805112
"2027",2.13476,,0.514909478168264
"2028",2.13614,,0.515441959531416
"2029",2.13869,,0.515974440894569
"2030",2.14555,,0.516506922257721
"2031",2.1459,,0.517039403620873
"2032",2.14913,0.480595667870036,
"2033",2.1563,,0.517571884984026
"2034",2.16154,0.481046931407942,
"2035",2.16643,,0.518104366347178
"2036",2.16653,,0.51863684771033
"2037",2.16838,0.481498194945848,
"2038",2.17159,0.481949458483755,
"2039",2.17837,,0.519169329073482
"2040",2.18122,0.482400722021661,
"2041",2.18568,0.482851985559567,
"2042",2.18809,0.483303249097473,
"2043",2.19208,,0.519701810436635
"2044",2.1943,,0.520234291799787
"2045",2.19473,,0.520766773162939
"2046",2.19912,,0.521299254526092
"2047",2.20562,,0.521831735889244
"2048",2.20988,0.483754512635379,
"2049",2.21276,,0.522364217252396
"2050",2.21791,0.484205776173285,
"2051",2.218,,0.522896698615548
"2052",2.22433,,0.523429179978701
"2053",2.22486,0.484657039711191,
"2054",2.22608,,0.523961661341853
"2055",2.23261,,0.524494142705005
"2056",2.23639,,0.525026624068158
"2057",2.23798,,0.52555910543131
"2058",2.2438,,0.526091586794462
"2059",2.24914,,0.526624068157615
"2060",2.25069,0.485108303249097,
"2061",2.25519,,0.527156549520767
"2062",2.2641,,0.527689030883919
"2063",2.27027,0.485559566787004,
"2064",2.27184,,0.528221512247071
"2065",2.27227,,0.528753993610224
"2066",2.27949,,0.529286474973376
"2067",2.28414,,0.529818956336528
"2068",2.28641,,0.53035143769968
"2069",2.29301,,0.530883919062833
"2070",2.31657,0.48601083032491,
"2071",2.32158,,0.531416400425985
"2072",2.32465,,0.531948881789137
"2073",2.32863,0.486462093862816,
"2074",2.3296,,0.53248136315229
"2075",2.33016,,0.533013844515442
"2076",2.33029,0.486913357400722,
"2077",2.33052,0.487364620938628,
"2078",2.3352,,0.533546325878594
"2079",2.33634,0.487815884476534,
"2080",2.33635,0.48826714801444,
"2081",2.33949,0.488718411552347,
"2082",2.34012,,0.534078807241747
"2083",2.35024,,0.534611288604899
"2084",2.35439,0.489169675090253,
"2085",2.36187,,0.535143769968051
"2086",2.37743,0.489620938628159,
"2087",2.38079,,0.535676251331203
"2088",2.38202,,0.536208732694356
"2089",2.39258,,0.536741214057508
"2090",2.3946,,0.53727369542066
"2091",2.39664,,0.537806176783813
"2092",2.4052,,0.538338658146965
"2093",2.40555,,0.538871139510117
"2094",2.40945,0.490072202166065,
"2095",2.4135,0.490523465703971,
"2096",2.41383,,0.539403620873269
"2097",2.41715,0.490974729241877,
"2098",2.42561,,0.539936102236422
"2099",2.42626,,0.540468583599574
"2100",2.4282,,0.541001064962726
"2101",2.42987,,0.541533546325879
"2102",2.4388,,0.542066027689031
"2103",2.44551,,0.542598509052183
"2104",2.45169,,0.543130990415335
"2105",2.45349,,0.543663471778488
"2106",2.46851,,0.54419595314164
"2107",2.47742,0.491425992779783,
"2108",2.49614,,0.544728434504792
"2109",2.49649,,0.545260915867945
"2110",2.51634,0.49187725631769,
"2111",2.51783,,0.545793397231097
"2112",2.5247,0.492328519855596,
"2113",2.53008,,0.546325878594249
"2114",2.53554,,0.546858359957402
"2115",2.53846,,0.547390841320554
"2116",2.55159,,0.547923322683706
"2117",2.55654,0.492779783393502,
"2118",2.5566,,0.548455804046858
"2119",2.5597,0.493231046931408,
"2120",2.56249,,0.548988285410011
"2121",2.56548,,0.549520766773163
"2122",2.5876,,0.550053248136315
"2123",2.58828,,0.550585729499467
"2124",2.58914,,0.55111821086262
"2125",2.59071,0.493682310469314,
"2126",2.5937,,0.551650692225772
"2127",2.59393,,0.552183173588924
"2128",2.59505,,0.552715654952077
"2129",2.59784,,0.553248136315229
"2130",2.60094,,0.553780617678381
"2131",2.60134,,0.554313099041534
"2132",2.61948,0.49413357400722,
"2133",2.62064,,0.554845580404686
"2134",2.62781,0.494584837545126,
"2135",2.63984,,0.555378061767838
"2136",2.6411,,0.55591054313099
"2137",2.6457,,0.556443024494143
"2138",2.66603,,0.556975505857295
"2139",2.67056,,0.557507987220447
"2140",2.67316,0.495036101083032,
"2141",2.67611,,0.5580404685836
"2142",2.69101,0.495487364620939,
"2143",2.69372,,0.558572949946752
"2144",2.69542,,0.559105431309904
"2145",2.72648,,0.559637912673056
"2146",2.74673,0.495938628158845,
"2147",2.75071,,0.560170394036209
"2148",2.75808,,0.560702875399361
"2149",2.76468,0.496389891696751,
"2150",2.76975,,0.561235356762513
"2151",2.7938,0.496841155234657,
"2152",2.79633,,0.561767838125666
"2153",2.8188,,0.562300319488818
"2154",2.83578,0.497292418772563,
"2155",2.85081,0.497743682310469,
"2156",2.85886,,0.56283280085197
"2157",2.86142,0.498194945848375,
"2158",2.86427,0.498646209386282,
"2159",2.89285,,0.563365282215122
"2160",2.90016,,0.563897763578275
"2161",2.90154,,0.564430244941427
"2162",2.90961,,0.564962726304579
"2163",2.91199,,0.565495207667732
"2164",2.91959,,0.566027689030884
"2165",2.92262,,0.566560170394036
"2166",2.92551,0.499097472924188,
"2167",2.92966,0.499548736462094,
"2168",2.94069,,0.567092651757188
"2169",2.9437,,0.567625133120341
"2170",2.95616,,0.568157614483493
"2171",2.95773,,0.568690095846645
"2172",2.9674,,0.569222577209798
"2173",2.97132,0.5,
"2174",2.97427,,0.56975505857295
"2175",2.9743,0.500451263537906,
"2176",2.98439,,0.570287539936102
"2177",2.99438,,0.570820021299255
"2178",3.00558,,0.571352502662407
"2179",3.01869,,0.571884984025559
"2180",3.03332,,0.572417465388711
"2181",3.03389,,0.572949946751864
"2182",3.03423,,0.573482428115016
"2183",3.04025,,0.574014909478168
"2184",3.05002,,0.57454739084132
"2185",3.06493,,0.575079872204473
"2186",3.06516,0.500902527075812,
"2187",3.06981,,0.575612353567625
"2188",3.07068,,0.576144834930777
"2189",3.0821,0.501353790613718,
"2190",3.11603,0.501805054151625,
"2191",3.14288,,0.57667731629393
"2192",3.14867,0.502256317689531,
"2193",3.15644,,0.577209797657082
"2194",3.16107,,0.577742279020234
"2195",3.18608,0.502707581227437,
"2196",3.1968,,0.578274760383387
"2197",3.20746,,0.578807241746539
"2198",3.21215,,0.579339723109691
"2199",3.26303,,0.579872204472843
"2200",3.2694,,0.580404685835996
"2201",3.27229,,0.580937167199148
"2202",3.27688,,0.5814696485623
"2203",3.28653,,0.582002129925453
"2204",3.30274,0.503158844765343,
"2205",3.3357,,0.582534611288605
"2206",3.3381,,0.583067092651757
"2207",3.34212,,0.58359957401491
"2208",3.3445,,0.584132055378062
"2209",3.37736,,0.584664536741214
"2210",3.38072,,0.585197018104366
"2211",3.38321,,0.585729499467519
"2212",3.38672,,0.586261980830671
"2213",3.40434,,0.586794462193823
"2214",3.41284,,0.587326943556975
"2215",3.41403,,0.587859424920128
"2216",3.41406,0.503610108303249,
"2217",3.41652,0.504061371841155,
"2218",3.41913,,0.58839190628328
"2219",3.42521,,0.588924387646432
"2220",3.42633,0.504512635379061,
"2221",3.4735,,0.589456869009585
"2222",3.483,,0.589989350372737
"2223",3.48362,0.504963898916967,
"2224",3.49542,,0.590521831735889
"2225",3.50008,,0.591054313099042
"2226",3.51157,,0.591586794462194
"2227",3.51655,0.505415162454874,
"2228",3.51938,,0.592119275825346
"2229",3.5447,,0.592651757188498
"2230",3.55675,,0.593184238551651
"2231",3.56748,,0.593716719914803
"2232",3.57164,0.50586642599278,
"2233",3.57459,,0.594249201277955
"2234",3.60982,,0.594781682641108
"2235",3.64317,,0.59531416400426
"2236",3.64815,,0.595846645367412
"2237",3.6568,,0.596379126730564
"2238",3.67225,,0.596911608093717
"2239",3.67242,,0.597444089456869
"2240",3.67432,,0.597976570820021
"2241",3.72422,,0.598509052183174
"2242",3.73299,,0.599041533546326
"2243",3.7337,,0.599574014909478
"2244",3.75884,0.506317689530686,
"2245",3.78444,,0.60010649627263
"2246",3.81731,0.506768953068592,
"2247",3.82931,,0.600638977635783
"2248",3.83754,,0.601171458998935
"2249",3.85364,,0.601703940362087
"2250",3.87145,,0.60223642172524
"2251",3.87986,,0.602768903088392
"2252",3.92518,,0.603301384451544
"2253",3.94881,0.507220216606498,
"2254",3.97747,0.507671480144404,
"2255",3.98043,,0.603833865814696
"2256",3.99751,,0.604366347177849
"2257",4.00938,0.50812274368231,
"2258",4.01277,0.508574007220217,
"2259",4.04525,,0.604898828541001
"2260",4.04849,,0.605431309904153
"2261",4.05665,,0.605963791267306
"2262",4.05766,0.509025270758123,
"2263",4.1359,0.509476534296029,
