"","x","1","2","3","4","5","6"
"597",1.048963,,,,,,0.10514440433213
"598",1.049006,,,,,0.0934115523465704,
"599",1.049108,,,,,,0.105595667870036
"600",1.049281,,,0.023014440433213,,,
"601",1.049394,,,,,,0.106046931407942
"602",1.049427,,,,,,0.106498194945848
"603",1.049459,,,,0.0500902527075812,,
"604",1.049556,,,,,0.0938628158844765,
"605",1.049585,,,,0.0505415162454874,,
"606",1.049658,,,,,,0.106949458483755
"607",1.049723,,,,,0.0943140794223827,
"608",1.049938,,,,,0.0947653429602888,
"609",1.04998,,,,,0.0952166064981949,
"610",1.050005,,,,,0.0956678700361011,
"611",1.050088,,,,,0.0961191335740072,
"612",1.050214,,,,,0.0965703971119134,
"613",1.050222,,,,,,0.107400722021661
"614",1.050344,,,,,,0.107851985559567
"615",1.050422,,,,,0.0970216606498195,
"616",1.050497,,,,,0.0974729241877256,
"617",1.050559,,,,,,0.108303249097473
"618",1.050727,,,,0.0509927797833935,,
"619",1.050791,,,,,,0.108754512635379
"620",1.050802,,,,,0.0979241877256318,
"621",1.050856,,,,,0.0983754512635379,
"622",1.050961,,,,,,0.109205776173285
"623",1.050981,,,,,0.098826714801444,
"624",1.051045,,,,0.0514440433212996,,
"625",1.051166,,,,,,0.109657039711191
"626",1.051229,,,,,0.0992779783393502,
"627",1.051341,,,,,0.0997292418772563,
"628",1.051357,,,,,,0.110108303249097
"629",1.051367,,,,,,0.110559566787004
"630",1.051373,,,,,,0.11101083032491
"631",1.051433,,,,,0.100631768953069,
"632",1.051446,,,,,0.101083032490975,
"633",1.051503,,,0.0234657039711191,,,
