instance,method,time,best_obj
interKP-100-100-7-10,MibS-First,0.0,4208.0
interdiction55-9,MibS-First,0.0,958.0
OR5x500-0.50_9.dat-50,MibS-First,515.0,166726.0
opm2-z10-s4_100_0,MibS-First,3600,1e+20
interKP-300-100-7-7,MibS-First,18.0,7804.0
K5050W04.KNP,MibS-First,0.0,10621.0
OR10x100-0.75_8.dat-50,MibS-First,18.0,22483.0
interKP-100-100-7-2,MibS-First,0.0,840.0
interKP-100-100-7-3,MibS-First,0.0,1262.0
interKP-300-100-7-6,MibS-First,13.0,8682.0
general30-30-20-20-20-1,MibS-First,0.0,199762.0
OR5x500-0.50_4.dat-0,MibS-First,3600,1e+20
air04-0.100000,MibS-First,3600,1e+20
pet6.dat-0,MibS-First,1.0,8105.0
OR30x100-0.25_2.dat-50,MibS-First,1550.0,20902.0
tanglegram2_50_50,MibS-First,3600,1e+20
vpphard_0_100,MibS-First,3600,1e+20
OR5x250-0.75_3.dat-50,MibS-First,33.0,55321.0
general30-30-10-20-20-6,MibS-First,0.0,200008.0
OR30x250-0.75_6.dat-100,MibS-First,20.0,50368.0
interKP-500-100-6-2,MibS-First,11.0,4651.0
OR5x250-0.50_4.dat-0,MibS-First,1572.0,93939.0
general30-30-10-20-20-7,MibS-First,0.0,299648.0
tree-80_2-2-2_001,MibS-First,0.0,77.0
toll-like_100_0,MibS-First,3600,1e+20
OR5x250-0.75_10.dat-100,MibS-First,18.0,55550.0
weish28.dat-50,MibS-First,0.0,9241.0
interKP-500-100-6-3,MibS-First,15.0,6976.0
OR30x500-0.50_6.dat-100,MibS-First,83.0,147913.0
K5050W03.KNP,MibS-First,1.0,8915.0
OR30x100-0.50_10.dat-50,MibS-First,1293.0,33984.0
normalClique40-90-2,MibS-First,0.0,19.0
OR5x100-0.50_2.dat-0,MibS-First,88.0,34743.0
BCPIns_12_9_10.txt_trad.txt_K15,MibS-First,0.0,6.0
xuLarge700-8,MibS-First,8.0,-29.5831
BCPIns_8_7_10.txt_trad.txt_K5,MibS-First,0.0,4.0
xuLarge700-9,MibS-First,2.0,-56.0
normalClique40-90-3,MibS-First,0.0,18.0
OR5x500-0.25_5.dat-100,MibS-First,27.0,121564.0
eilB101_50_50,MibS-First,3600,1e+20
neos-5049753-cuanza_100_0,MibS-First,3600,1e+20
binkar10_1_0_100,MibS-First,3600,1e+20
weish15.dat-50,MibS-First,0.0,8120.0
weish07.dat-0,MibS-First,0.0,3578.0
weish12.dat-0,MibS-First,0.0,4174.0
plusBCPIns_8_9_10,MibS-First,0.0,4.0
bmilplib_260_1,MibS-First,0.0,-98.2449
rmine6_100_0,MibS-First,3600,1e+20
interKP-400-100-9-1,MibS-First,0.0,3405.0
normalClique60-70-10,MibS-First,0.0,12.0
K5020W13.KNP,MibS-First,0.0,6382.0
OR10x250-0.25_3.dat-0,MibS-First,3600,1e+20
p200x1188c_50_50,MibS-First,3600,1e+20
n9-3_100_0,MibS-First,3600,1e+20
sing326_50_50,MibS-First,3600,1e+20
OR10x100-0.25_5.dat-0,MibS-First,24.0,23149.0
OR10x250-0.50_10.dat-50,MibS-First,3600,1e+20
OR30x250-0.50_1.dat-50,MibS-First,3600,1e+20
rndgraph-50_3-5-5_008,MibS-First,0.0,13.0
T1-5-1,MibS-First,76.0,-176.0
2AP05-13,MibS-First,0.0,-56.0
OR5x100-0.50_9.dat-100,MibS-First,4.0,31664.0
OR10x250-0.75_4.dat-0,MibS-First,3600,1e+20
interKP-200-100-4-7,MibS-First,0.0,6876.0
OR10x500-0.75_10.dat-50,MibS-First,3600,1e+20
OR10x100-0.75_6.dat-100,MibS-First,3.0,22512.0
BCPIns_12_9_8.txt_trad.txt_K15,MibS-First,0.0,8.0
interKP-200-100-4-6,MibS-First,0.0,5926.0
OR10x100-0.75_2.dat-0,MibS-First,226.0,56268.0
OR10x500-0.25_1.dat-50,MibS-First,3600,1e+20
interKP-400-100-8-8,MibS-First,40.0,8230.0
plusBCPIns_10_9_8,MibS-First,0.0,7.0
OR30x100-0.50_9.dat-50,MibS-First,950.0,35653.0
T1-9-3,MibS-First,5.0,-191.0
K5020W14.KNP,MibS-First,0.0,4342.0
plusBCPIns_10_9_9,MibS-First,0.0,7.0
interKP-400-100-8-9,MibS-First,16.0,19786.0
OR10x500-0.75_4.dat-0,MibS-First,3600,1e+20
T1-9-2,MibS-First,62.0,-158.0
interKP-200-100-8-5,MibS-First,7.0,5442.0
weish25.dat-100,MibS-First,1.0,8429.0
ex9_0_100,MibS-First,3600,1e+20
interKP-200-100-8-4,MibS-First,5.0,4386.0
OR5x100-0.75_3.dat-100,MibS-First,3.0,21799.0
interKP-400-100-5-2,MibS-First,6.0,4741.0
OR10x500-0.25_3.dat-0,MibS-First,3600,1e+20
interKP-400-100-5-3,MibS-First,11.0,6667.0
comp21-2idx_100_0,MibS-First,3600,1e+20
