"time","5_NLP_0","5_PADM_1","5_NLP-first_0","5_PADM_0","10_NLP_0","10_PADM_1","10_NLP-first_0","10_PADM_0","1_NLP_0","1_PADM_1","1_NLP-first_0","1_PADM_0"
0.435715,0.0319148936170213,0.186170212765957,0.099290780141844,0.232269503546099,0.0284191829484902,0.193262411347518,0.102836879432624,0.235815602836879,0.0585106382978723,0.193262411347518,0.0797872340425532,0.228723404255319
0.471393,0.0319148936170213,0.203900709219858,0.101063829787234,0.23758865248227,0.0301953818827709,0.203900709219858,0.104609929078014,0.235815602836879,0.0585106382978723,0.202127659574468,0.0815602836879433,0.24645390070922
0.500499,0.0319148936170213,0.210992907801418,0.101063829787234,0.25177304964539,0.0301953818827709,0.216312056737589,0.106382978723404,0.24290780141844,0.0585106382978723,0.207446808510638,0.0815602836879433,0.264184397163121
0.524724,0.0319148936170213,0.212765957446809,0.102836879432624,0.265957446808511,0.0301953818827709,0.228723404255319,0.108156028368794,0.25177304964539,0.0620567375886525,0.212765957446809,0.0851063829787234,0.278368794326241
0.570702,0.0319148936170213,0.218085106382979,0.104609929078014,0.285460992907801,0.0301953818827709,0.234042553191489,0.109929078014184,0.265957446808511,0.0638297872340425,0.214539007092199,0.0921985815602837,0.287234042553192
0.6088,0.0372340425531915,0.221631205673759,0.106382978723404,0.294326241134752,0.0301953818827709,0.23936170212766,0.111702127659574,0.285460992907801,0.0691489361702128,0.218085106382979,0.0939716312056738,0.297872340425532
0.667446,0.0390070921985816,0.230496453900709,0.108156028368794,0.303191489361702,0.0301953818827709,0.24468085106383,0.113475177304965,0.301418439716312,0.0726950354609929,0.228723404255319,0.0975177304964539,0.301418439716312
0.735351,0.0443262411347518,0.23936170212766,0.113475177304965,0.313829787234043,0.0301953818827709,0.25177304964539,0.113475177304965,0.312056737588652,0.076241134751773,0.235815602836879,0.0975177304964539,0.310283687943262
0.839498,0.0478723404255319,0.24822695035461,0.117021276595745,0.319148936170213,0.0337477797513321,0.265957446808511,0.115248226950355,0.317375886524823,0.0797872340425532,0.24290780141844,0.102836879432624,0.315602836879433
0.943446,0.0514184397163121,0.25531914893617,0.124113475177305,0.324468085106383,0.0355239786856128,0.274822695035461,0.115248226950355,0.320921985815603,0.0815602836879433,0.26063829787234,0.106382978723404,0.320921985815603
1.000875,0.0514184397163121,0.269503546099291,0.127659574468085,0.335106382978723,0.0355239786856128,0.281914893617021,0.117021276595745,0.326241134751773,0.0833333333333333,0.273049645390071,0.106382978723404,0.331560283687943
1.03757,0.0549645390070922,0.287234042553192,0.131205673758865,0.338652482269504,0.0355239786856128,0.289007092198582,0.117021276595745,0.329787234042553,0.0833333333333333,0.294326241134752,0.106382978723404,0.338652482269504
