"time","5_w0","5_w1","10_w0","10_w1","1_w0","1_w1"
1.898632,0.316901408450704,0.457746478873239,0.327464788732394,0.525528169014085,0.284330985915493,0.302816901408451
2.115721,0.326584507042254,0.462147887323944,0.337147887323944,0.53080985915493,0.294894366197183,0.308098591549296
2.30008,0.337147887323944,0.467429577464789,0.349471830985915,0.535211267605634,0.303697183098592,0.3125
2.44583,0.339788732394366,0.477112676056338,0.361795774647887,0.545774647887324,0.306338028169014,0.319542253521127
2.54513,0.342429577464789,0.490316901408451,0.362676056338028,0.558978873239437,0.307218309859155,0.33362676056338
2.6561,0.34330985915493,0.508802816901408,0.365316901408451,0.570422535211268,0.308978873239437,0.34419014084507
2.76874,0.34419014084507,0.520246478873239,0.367957746478873,0.592429577464789,0.309859154929577,0.351232394366197
2.963797,0.348591549295775,0.53080985915493,0.370598591549296,0.605633802816901,0.3125,0.362676056338028
3.28563,0.352112676056338,0.542253521126761,0.375880281690141,0.616197183098592,0.318661971830986,0.371478873239437
3.52055,0.359154929577465,0.553697183098592,0.381161971830986,0.625,0.325704225352113,0.376760563380282
3.7197,0.362676056338028,0.568661971830986,0.388204225352113,0.633802816901408,0.328345070422535,0.384683098591549
3.99266,0.369718309859155,0.576584507042254,0.397007042253521,0.648767605633803,0.331866197183099,0.388204225352113
4.37553,0.375,0.586267605633803,0.402288732394366,0.662852112676056,0.335387323943662,0.395246478873239
4.74703,0.380281690140845,0.596830985915493,0.411091549295775,0.671654929577465,0.338908450704225,0.403169014084507
5.73458,0.387323943661972,0.60387323943662,0.420774647887324,0.6875,0.341549295774648,0.40669014084507
6.70278,0.395246478873239,0.612676056338028,0.431338028169014,0.693661971830986,0.34330985915493,0.41637323943662
7.299794,0.39612676056338,0.625880281690141,0.436619718309859,0.709507042253521,0.34330985915493,0.426056338028169
8.34387,0.401408450704225,0.637323943661972,0.440140845070423,0.722711267605634,0.345070422535211,0.436619718309859
9.47975,0.40580985915493,0.648767605633803,0.445422535211268,0.735035211267606,0.349471830985915,0.443661971830986
11.6214,0.413732394366197,0.651408450704225,0.460387323943662,0.742077464788732,0.358274647887324,0.447183098591549
14.1303,0.433978873239437,0.653169014084507,0.471830985915493,0.743838028169014,0.368838028169014,0.447183098591549
16.1993,0.450704225352113,0.657570422535211,0.484154929577465,0.746478873239437,0.375880281690141,0.448943661971831
18.0351,0.462147887323944,0.658450704225352,0.498239436619718,0.748239436619718,0.391725352112676,0.449823943661972
19.3253,0.470950704225352,0.659330985915493,0.516725352112676,0.750880281690141,0.40669014084507,0.449823943661972
20.6296,0.483274647887324,0.661971830985915,0.528169014084507,0.753521126760563,0.418133802816901,0.454225352112676
23.2238,0.496478873239437,0.667253521126761,0.54137323943662,0.757922535211268,0.420774647887324,0.460387323943662
26.63533,0.503521126760563,0.67693661971831,0.55193661971831,0.764084507042254,0.428697183098592,0.464788732394366
31.2468,0.51056338028169,0.684859154929577,0.557218309859155,0.775528169014085,0.431338028169014,0.475352112676056
34.4359,0.515845070422535,0.698943661971831,0.560739436619718,0.786091549295775,0.431338028169014,0.486795774647887
36.8456,0.518485915492958,0.70862676056338,0.568661971830986,0.800176056338028,0.431338028169014,0.498239436619718
39.9489,0.520246478873239,0.722711267605634,0.573943661971831,0.8125,0.431338028169014,0.509683098591549
44.045,0.527288732394366,0.731514084507042,0.580985915492958,0.824823943661972,0.431338028169014,0.519366197183099
51.0984,0.53169014084507,0.737676056338028,0.59419014084507,0.839788732394366,0.432218309859155,0.525528169014085
57.4222,0.539612676056338,0.748239436619718,0.601232394366197,0.851232394366197,0.432218309859155,0.533450704225352
67.2655,0.545774647887324,0.757042253521127,0.617077464788732,0.860915492957746,0.434859154929577,0.535211267605634
75.1724,0.557218309859155,0.76056338028169,0.625880281690141,0.867957746478873,0.444542253521127,0.540492957746479
85.0642,0.565140845070423,0.764964788732394,0.639964788732394,0.874119718309859,0.450704225352113,0.546654929577465
98.687,0.571302816901408,0.777288732394366,0.651408450704225,0.882922535211268,0.450704225352113,0.552816901408451
117.115,0.576584507042254,0.786971830985915,0.660211267605634,0.894366197183099,0.452464788732394,0.561619718309859
137.9647,0.58362676056338,0.801056338028169,0.664612676056338,0.903169014084507,0.456866197183099,0.567781690140845
149.118,0.587147887323944,0.8125,0.668133802816901,0.915492957746479,0.459507042253521,0.579225352112676
167.444,0.590669014084507,0.82306338028169,0.675176056338028,0.932218309859155,0.461267605633803,0.585387323943662
200.225231,0.602992957746479,0.827464788732394,0.693661971830986,0.933098591549296,0.467429577464789,0.588028169014085
246.89,0.613556338028169,0.830985915492958,0.714788732394366,0.9375,0.46919014084507,0.591549295774648
360.75,0.625,0.834507042253521,0.729753521126761,0.944542253521127,0.472711267605634,0.596830985915493
477.351,0.638204225352113,0.836267605633803,0.746478873239437,0.94806338028169,0.482394366197183,0.596830985915493
581.362,0.657570422535211,0.837147887323944,0.76056338028169,0.948943661971831,0.492077464788732,0.596830985915493
806.315,0.672535211267606,0.838028169014085,0.784330985915493,0.949823943661972,0.494718309859155,0.599471830985915
1321.14,0.683098591549296,0.842429577464789,0.799295774647887,0.955985915492958,0.496478873239437,0.606514084507042
1540.23484,0.691901408450704,0.852112676056338,0.806338028169014,0.960387323943662,0.503521126760563,0.61443661971831
1779.54,0.69806338028169,0.861795774647887,0.820422535211268,0.970070422535211,0.505281690140845,0.618838028169014
