architecture,instance,method,warm_start,time,objective,status,success
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,nows,300.8455,48.76145487,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,ws,300.5236,68.6670053,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,nows,300.8468,11.74716292,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,ws,300.9121,11.46251728,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,nows,301.1985,12.63340721,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,ws,301.1709,11.38204166,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,nows,302.2406,12.63340721,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,ws,301.9854,11.38204166,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,nows,301.1479,37.02703313,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,ws,300.4012,41.01623562,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,nows,300.6585,18.31728914,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,ws,300.6417,21.3722057,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,nows,301.6107,19.43030629,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,ws,301.1233,,TIME_LIMIT,FALSE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,nows,302.289,19.43030629,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,ws,302.0046,18.54674532,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,nows,300.8248,56.68439158,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,ws,301.3016,69.88693172,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,nows,300.7255,12.2954787,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,ws,300.6763,11.6485537,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,nows,301.2545,11.46810457,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,ws,300.9875,11.83932575,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,nows,302.9347,11.96035432,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,ws,302.4898,13.01563054,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,nows,300.7699,39.3168831,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,ws,300.2832,42.86269079,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,nows,300.9209,14.30612701,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,ws,300.7567,14.33336079,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,nows,301.1946,14.55063616,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,ws,301.386,14.29885961,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,nows,301.9813,14.4371513,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,ws,302.1058,14.29885961,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,nows,300.9259,49.16109684,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,ws,300.1701,57.65110377,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUBigM,nows,2.1389,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUBigM,ws,1.6011,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUQuadratic,nows,2.3837,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUQuadratic,ws,2.4704,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUSOS1,nows,2.993,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,gurobi_ReLUSOS1,ws,3.481,11.1179089,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,ipopt_ReLUQuadratic,nows,299.2986,11.68787986,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,11418,ipopt_ReLUQuadratic,ws,299.3472,21.01078631,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUBigM,nows,1.7141,8.193612383,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUBigM,ws,1.9386,8.193612383,OPTIMAL,TRUE
