architecture,instance,method,warm_start,time,objective,status,gap,best_bound,success
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,nows,302.7326,12.2794692360533,SUBOPTIMAL,0.638473,4.43935378845788,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,ws,301.9516,12.1704716039489,SUBOPTIMAL,0.673032,3.97935036939575,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,nows,300.7067,40.6048118489664,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,ws,300.2381,45.341012520146,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,nows,300.6499,7.42589311415516,SUBOPTIMAL,0.094564,6.72366945791511,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,ws,286.5717,7.42589311415516,OPTIMAL,0,7.42589311415516,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,nows,301.4063,7.4390097174248,SUBOPTIMAL,0.30208,5.19183079358706,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,ws,301.2118,7.43900971742481,SUBOPTIMAL,0.182258,6.08319179519684,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,nows,302.0863,7.4390097174248,SUBOPTIMAL,0.30208,5.19183079358706,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,ws,302.1652,7.43900971742481,SUBOPTIMAL,0.197908,5.96677187868863,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,nows,300.5669,32.5824402243212,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,ws,300.2461,34.0957242398321,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,nows,117.0076,7.76927704861473,OPTIMAL,0,7.76927704861473,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,ws,107.0352,7.76927704861472,OPTIMAL,0,7.76927704861472,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,nows,111.0873,7.76927704861472,OPTIMAL,0,7.76927704861472,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,ws,138.7628,7.76927704861473,OPTIMAL,0,7.76927704861473,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,nows,105.517,7.76927704861472,OPTIMAL,0,7.76927704861472,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,ws,122.0548,7.76927704861473,OPTIMAL,0,7.76927704861473,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,nows,300.8687,36.6364239572517,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,ws,300.4947,41.5597138796676,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,nows,300.7048,12.4286428898225,SUBOPTIMAL,0.994691,0.0659888504141982,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,ws,300.7117,12.8277005236103,SUBOPTIMAL,0.996284,0.0476635931190498,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,nows,301.19,14.0003177584544,SUBOPTIMAL,0.999177,0.011524410893541,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,ws,301.1308,12.8140999140026,SUBOPTIMAL,0.987115,0.165110829189161,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,nows,301.9505,13.9127624618078,SUBOPTIMAL,0.983627,0.227788520765539,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,ws,301.9623,12.8140999140026,SUBOPTIMAL,0.987115,0.165110829189161,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,nows,300.3366,35.5135639951729,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,ws,300.3272,35.462125804535,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,nows,300.8934,13.8976388039083,SUBOPTIMAL,0.997841,0.0300025121892413,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,ws,300.8979,14.0546210333112,SUBOPTIMAL,0.997865,0.0300025121892427,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,nows,301.1711,13.4397820533946,SUBOPTIMAL,0.991402,0.11555490733365,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,ws,301.4164,14.432812095719,SUBOPTIMAL,0.980469,0.281890560153247,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,nows,302.0277,13.4397820533946,SUBOPTIMAL,0.991402,0.11555490733365,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,ws,302.3055,14.432812095719,SUBOPTIMAL,0.980469,0.281890560153247,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,nows,303.1581,42.4506675597211,UNKNOWN_STATUS_NUMERICAL_ERROR,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,ws,300.6177,42.9428559109788,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,nows,300.7142,19.6374870087533,SUBOPTIMAL,0.954109,0.901183722023908,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,ws,300.87,19.8006621948128,SUBOPTIMAL,1,0,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,nows,301.1125,20.3097270914673,SUBOPTIMAL,0.99929,0.0144155196765445,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,ws,301.2428,19.1147062416558,SUBOPTIMAL,0.984506,0.296160365540698,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,nows,302.1958,20.3097270914673,SUBOPTIMAL,0.99929,0.0144155196765445,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,ws,302.1686,19.1170439613466,SUBOPTIMAL,0.999246,0.0144155196765377,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,nows,301.3774,56.6884574190827,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,ws,300.1446,64.0550763908297,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,nows,300.9288,12.2122129375279,SUBOPTIMAL,0.964918,0.428434366665714,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,ws,300.647,13.4457462974791,SUBOPTIMAL,0.954317,0.614245842033065,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,nows,301.3714,13.0183743757881,SUBOPTIMAL,0.936891,0.821576439212005,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,ws,301.3244,13.1672826650175,SUBOPTIMAL,0.938483,0.810013096353152,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,nows,302.0201,13.0183743757881,SUBOPTIMAL,0.936891,0.821576439212005,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,ws,302.1796,13.1672826650175,SUBOPTIMAL,0.938483,0.810013096353152,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,nows,300.4588,55.1580234416167,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,ws,300.2587,62.5365575729969,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,nows,300.982,8.85596133266048,SUBOPTIMAL,0.933438,0.589468305315051,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,ws,300.9387,8.7677499448301,SUBOPTIMAL,0.932616,0.5908024260532,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,nows,301.3829,8.26199560763467,SUBOPTIMAL,0.900158,0.824890527197326,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,ws,301.4528,8.23091241515209,SUBOPTIMAL,0.91852,0.670657779744098,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,nows,302.2768,8.26199560763467,SUBOPTIMAL,0.907641,0.763070071691744,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,ws,302.0922,8.23091241515209,SUBOPTIMAL,0.920609,0.653462997320233,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,nows,300.4982,58.5688095140191,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,ws,300.258,93.1459504287131,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,nows,300.5834,16.5072812515626,SUBOPTIMAL,0.99922,0.0128799146391163,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,ws,300.7462,18.5291454127443,SUBOPTIMAL,0.999305,0.0128799146391883,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,nows,301.3363,17.3806840261374,SUBOPTIMAL,0.994088,0.102748566081171,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,ws,301.233,18.6693539658376,SUBOPTIMAL,0.979738,0.378271897247593,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,nows,302.1043,17.3806840261374,SUBOPTIMAL,0.994088,0.102748566081171,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,ws,302.1724,18.6693539658376,SUBOPTIMAL,0.979738,0.378271897247593,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,nows,300.2453,45.9520475487691,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,ws,300.3413,68.6670052968671,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,nows,300.905,11.7471629166996,SUBOPTIMAL,0.978211,0.255959983223725,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,ws,300.9124,11.4625172846526,SUBOPTIMAL,0.982562,0.199887672458637,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,nows,301.1941,12.6334072106062,SUBOPTIMAL,0.989617,0.13117451933325,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,ws,301.0255,11.3820416618523,SUBOPTIMAL,0.976933,0.262552781887187,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,nows,302.2984,12.6334072106062,SUBOPTIMAL,0.978797,0.267862415375021,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,ws,302.2996,11.3820416618523,SUBOPTIMAL,0.976933,0.262552781887187,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,nows,300.7891,36.3365382627005,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,ws,300.31,41.0162356211275,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,nows,300.7991,18.3172891372772,SUBOPTIMAL,0.992277,0.141456019051687,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,ws,300.7739,21.3722057040345,SUBOPTIMAL,1,0,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,nows,301.0281,19.4303062878256,SUBOPTIMAL,0.989646,0.201187769297979,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,ws,301.1969,,TIME_LIMIT,0.996586,0.0633181649461287,FALSE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,nows,302.183,19.4303062878256,SUBOPTIMAL,0.993754,0.121358090000326,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,ws,302.0473,18.5467453220794,SUBOPTIMAL,0.997628,0.0439861436927,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,nows,300.6212,57.4322495981386,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,ws,300.2997,69.8869317239872,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,nows,300.8958,12.2954787046911,SUBOPTIMAL,1,0,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,ws,300.7463,11.6485537025817,SUBOPTIMAL,1,0,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,nows,301.2265,11.392593662313,SUBOPTIMAL,0.996331,0.0417995089963412,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,ws,301.4393,13.0156305414268,SUBOPTIMAL,0.995825,0.054335245658887,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,nows,302.2243,11.392593662313,SUBOPTIMAL,0.996331,0.0417995089963412,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,ws,302.1062,13.0156305414268,SUBOPTIMAL,0.995825,0.054335245658887,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,nows,300.3416,38.1381684290487,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,ws,300.7006,42.8626907870335,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
