"","x","1","2","3","4","5"
"320",0.033163,,,,,0.0469314079422383
"321",0.033244,,,,,0.0473826714801444
"322",0.033447,,,,0.0446750902527076,
"323",0.033468,,,,,0.0478339350180505
"324",0.033753,,,,0.0451263537906137,
"325",0.033992,,,,0.0455776173285199,
"326",0.034025,,,,,0.0482851985559567
"327",0.034047,,0.0139891696750903,,,
"328",0.034087,,,,0.046028880866426,
"329",0.034109,,,,0.0464801444043321,
"330",0.034116,,,,,0.0487364620938628
"331",0.034122,,,0.0401624548736462,,
"332",0.034137,,,,0.0469314079422383,
"333",0.034147,,0.0144404332129964,,,
"334",0.034169,,,,0.0473826714801444,
"335",0.034178,,,,,0.049187725631769
"336",0.034205,,0.0148916967509025,,,
"337",0.03443,,,,,0.0496389891696751
"338",0.034472,,,,,0.0500902527075812
"339",0.03453,,,,0.0478339350180505,
"340",0.034588,,,,,0.0505415162454874
"341",0.034624,,0.0153429602888087,,,
"342",0.03465,,,,0.0482851985559567,
"343",0.034687,,,,,0.0509927797833935
"344",0.034721,,,0.0406137184115523,,
"345",0.034754,,,,,0.0514440433212996
"346",0.034837,,,,,0.0518953068592058
"347",0.034858,,0.0157942238267148,,,
"348",0.035039,,,,0.0487364620938628,
"349",0.035114,,,,0.049187725631769,
"350",0.035273,,,,0.0496389891696751,
"351",0.035416,,,,0.0500902527075812,
"352",0.035426,,,,,0.0523465703971119
"353",0.03544,,,,,0.0527978339350181
"354",0.035443,,,,,0.0532490974729242
"355",0.035501,,,,0.0505415162454874,
"356",0.035504,,,,,0.0537003610108303
"357",0.035579,,,0.0410649819494585,,
"358",0.035615,,,,,0.0541516245487365
"359",0.035641,,0.0162454873646209,,,
"360",0.035822,,,0.0415162454873646,,
"361",0.035831,,,,0.0509927797833935,
"362",0.035922,,,0.0419675090252708,,
"363",0.035996,,,0.0424187725631769,,
"364",0.036012,,,,,0.0546028880866426
"365",0.036022,,0.0166967509025271,,,
"366",0.036153,,,0.042870036101083,,
"367",0.036307,,0.0171480144404332,,,
"368",0.036347,,,,,0.0550541516245487
"369",0.036504,,,,0.0514440433212996,
"370",0.036586,,,,,0.0555054151624549
"371",0.036612,,,,,0.055956678700361
"372",0.036675,,,,0.0518953068592058,
"373",0.036728,,0.0175992779783394,,,
"374",0.036741,,,,0.0523465703971119,
"375",0.036949,,0.0180505415162455,,,
"376",0.037007,,,,0.0527978339350181,
"377",0.037174,,,0.0433212996389892,,
"378",0.037194,,,0.0437725631768953,,
"379",0.037235,,,,0.0532490974729242,
"380",0.037243,,,0.0442238267148014,,
"381",0.037293,,,,0.0537003610108303,
"382",0.037412,,,,,0.0564079422382671
"383",0.037527,,,,,0.0568592057761733
"384",0.037791,,,,0.0541516245487365,
"385",0.037864,,,,0.0546028880866426,
"386",0.038041,,,,,0.0573104693140794
"387",0.038045,,,,,0.0577617328519856
"388",0.038572,,,,0.0550541516245487,
"389",0.038709,,,0.0446750902527076,,
"390",0.039056,,,,0.0555054151624549,
"391",0.039078,,,,,0.0582129963898917
"392",0.039146,,0.0185018050541516,,,
"393",0.039249,,,,,0.0586642599277978
"394",0.039637,,,,0.055956678700361,
"395",0.040134,,0.0189530685920578,,,
"396",0.040155,,,0.0451263537906137,,
"397",0.040185,,,,0.0564079422382671,
"398",0.040579,,,,,0.059115523465704
"399",0.040691,,,,0.0568592057761733,
"400",0.040844,,0.0194043321299639,,,
"401",0.040849,,,0.0455776173285199,,
"402",0.040956,,,,0.0573104693140794,
"403",0.041129,,,,0.0577617328519856,
"404",0.041234,,,,0.0582129963898917,
"405",0.041284,,,,0.0586642599277978,
"406",0.04155,,0.01985559566787,,,
"407",0.041652,,,,0.059115523465704,
"408",0.041753,,0.0203068592057762,,,
"409",0.041883,,,,0.0595667870036101,
"410",0.041906,,0.0207581227436823,,,
"411",0.041908,,,,,0.0595667870036101
"412",0.041984,,,0.046028880866426,,
"413",0.042118,,,,,0.0600180505415162
"414",0.042258,,,,0.0600180505415162,
"415",0.042557,,,,,0.0604693140794224
"416",0.042595,,,,,0.0609205776173285
"417",0.042677,,,,,0.0613718411552347
"418",0.042794,,,0.0464801444043321,,
"419",0.042931,,,,,0.0618231046931408
"420",0.042982,,,0.0469314079422383,,
"421",0.043264,,,0.0473826714801444,,
"422",0.043276,,,,0.0604693140794224,
"423",0.043598,,,,0.0609205776173285,
"424",0.043653,,,,,0.0622743682310469
"425",0.043681,,,,0.0613718411552347,
"426",0.043813,,,,,0.0627256317689531
"427",0.043841,,,,0.0618231046931408,
"428",0.043977,,,0.0478339350180505,,
"429",0.044052,,,,0.0622743682310469,
"430",0.044577,,,,,0.0631768953068592
"431",0.044744,,,,0.0627256317689531,
"432",0.044839,,,,0.0631768953068592,
"433",0.044935,,,,,0.0636281588447653
"434",0.045222,,0.0212093862815884,,,
"435",0.045399,,,,0.0636281588447653,
"436",0.045463,,,,0.0640794223826715,
"437",0.045466,,,,0.0645306859205776,
"438",0.045771,,,,,0.0640794223826715
"439",0.045889,,,,0.0649819494584837,
"440",0.04595,,,,0.0654332129963899,
"441",0.046082,,,,0.065884476534296,
"442",0.046239,,,,0.0663357400722022,
"443",0.046277,,,,0.0667870036101083,
"444",0.046719,,,,,0.0645306859205776
"445",0.046784,,,,,0.0649819494584837
"446",0.046805,,,,0.0672382671480144,
"447",0.046947,,,,,0.0654332129963899
"448",0.046968,,,,0.0676895306859206,
"449",0.047039,,,0.0482851985559567,,
"450",0.047101,,,,,0.065884476534296
"451",0.047212,,0.0216606498194946,,,
"452",0.047214,,,,0.0681407942238267,
"453",0.047315,,,,0.0685920577617329,
"454",0.047411,,,,,0.0663357400722022
"455",0.047569,,0.0221119133574007,,,
"456",0.047591,,,0.0487364620938628,,
"457",0.047871,,,,0.069043321299639,
"458",0.047922,,,,,0.0667870036101083
"459",0.047976,,,,,0.0672382671480144
"460",0.048215,,,,,0.0676895306859206
"461",0.048232,,0.0225631768953069,,,
"462",0.048442,,,0.049187725631769,,
"463",0.048617,,,0.0496389891696751,,
"464",0.048974,,,,,0.0681407942238267
"465",0.048998,,,,,0.0685920577617329
"466",0.049001,,,,0.0694945848375451,
"467",0.049249,,,,0.0699458483754513,
"468",0.049281,,0.023014440433213,,,
"469",0.049391,,,,0.0703971119133574,
"470",0.049459,,,0.0500902527075812,,
"471",0.049585,,,0.0505415162454874,,
"472",0.050482,,,,,0.069043321299639
"473",0.050651,,,,0.0708483754512635,
"474",0.050727,,,0.0509927797833935,,
"475",0.050949,,,,,0.0694945848375451
"476",0.051045,,,0.0514440433212996,,
"477",0.051066,,,,,0.0699458483754513
"478",0.051503,,0.0234657039711191,,,
"479",0.051638,,,0.0518953068592058,,
"480",0.051743,,0.0239169675090253,,,
"481",0.051773,,,0.0523465703971119,,
"482",0.05245,,,,,0.0703971119133574
"483",0.052806,,,,0.0712996389891697,
"484",0.053007,,,,,0.0708483754512635
"485",0.053189,,,0.0527978339350181,,
"486",0.053213,,,0.0532490974729242,,
"487",0.053285,,,,,0.0712996389891697
"488",0.053462,,0.0243682310469314,,,
"489",0.053669,,,,0.0717509025270758,
"490",0.053825,,,,,0.0717509025270758
"491",0.054214,,,,0.0722021660649819,
"492",0.054475,,,0.0537003610108303,,
"493",0.054661,,,0.0541516245487365,,
"494",0.054671,,,,,0.0722021660649819
"495",0.055063,,,,,0.0726534296028881
"496",0.055276,,,,0.0726534296028881,
"497",0.056348,,,,,0.0731046931407942
"498",0.057164,,,,,0.0735559566787004
"499",0.057245,,,,0.0731046931407942,
"500",0.05754,,,,0.0735559566787004,
"501",0.057553,,0.0248194945848375,,,
"502",0.057676,,,0.0546028880866426,,
"503",0.057873,,,0.0550541516245487,,
"504",0.058254,,,,,0.0740072202166065
