result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__8.txt,60.000000,CG,   Optimal,   Proved,0,6,16.228,11.289,4.85969,-3412,-3412,5.33115e-14,1.81899e-12,,0,15,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__1.txt,60.000000,CG,   Optimal,   Proved,0,7,16.4885,15.7899,0.639809,-2682,-2682,0,0,,0,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__9.txt,inf,STD,   Optimal,   Proved,0,19,6.33415,5.56896,0.604574,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__0.txt,60.000000,CG,   Optimal,   Proved,1,12,2964.01,2890.22,73.59,-5758.00,-5758.00,0.00,0.00,,1,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__4.txt,inf,STD,Infeasible,        -,1,4,10804.7,10741.9,62.7731,1e+20,-6758,1.47973e+18,1e+20,,0,15,30,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__6.txt,60.000000,CG,   Optimal,   Proved,1,8,677.65,671.59,5.92,-1701.00,-1701.00,0.00,0.00,,0,10,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__5.txt,120.000000,CG,   Optimal,   Proved,1,10,870.65,854.82,15.69,-1355.00,-1355.00,0.00,0.00,,1,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__2.txt,60.000000,CG,   Optimal,   Proved,0,10,51.2484,43.7597,7.32949,-2165,-2165,8.4018e-14,1.81899e-12,,1,10,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__0.txt,60.000000,CG,   Optimal,   Proved,1,11,5899.54,5782.87,116.44,-4851.00,-4847.00,0.08,4.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__6.txt,60.000000,CG,   Optimal,   Proved,0,8,4.66662,4.20115,0.372423,0,0,0,0,,1,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__5.txt,60.000000,CG,   Optimal,   Proved,1,10,10800.36,10774.91,25.24,-2053.00,-1429.00,43.67,624.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__1.txt,inf,STD,Infeasible,        -,1,12,10800.9,10800.1,0.675229,1e+20,0,1e+32,1e+20,,0,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__6.txt,120.000000,CG,   Optimal,   Proved,0,7,1.21476,0.796679,0.339289,0,0,0,0,,0,15,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__1.txt,60.000000,CG,   Optimal,   Proved,1,9,626.76,620.42,6.21,-2706.00,-2706.00,0.00,0.00,,1,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__1.txt,inf,STD,Infeasible,        -,1,4,10804.6,10798.6,6.02386,1e+20,-912,1.09649e+19,1e+20,,0,15,30,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__4.txt,60.000000,CG,   Optimal,   Proved,1,8,5772.52,5466.63,305.64,-5932.00,-5932.00,0.00,0.00,,1,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__1.txt,inf,STD,   Optimal,   Proved,0,9,6.3266,5.16341,1.08597,-1213,-1213,7.4979e-14,9.09495e-13,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__5.txt,60.000000,CG,   Optimal,   Proved,0,7,30.9361,30.4815,0.392031,-1637,-1637,5.55586e-14,9.09495e-13,,1,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__3.txt,120.000000,CG,   Optimal,   Proved,0,5,20.633,16.9465,3.62831,-3349,-3349,0,0,,1,10,30,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__2.txt,inf,STD,Infeasible,        -,1,7,10800.1,10799.5,0.49029,1e+20,0,1e+32,1e+20,,0,10,30,4,
