instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r20_d5_2.txt,2,colgen-ext,10,5,0,1.930,171.000,1,Optimal,0.00000,default
instance_n10_r30_d5_1.txt,2,colgen-ext,10,3,0,2.381,144.000,1,Optimal,0.00000,default
instance_n10_r30_d10_1.txt,2,colgen-ext,10,7,0,1.820,114.000,1,Optimal,0.00000,default
instance_n10_r20_d10_4.txt,2,colgen-ext,10,3,0,14.388,163.000,1,Optimal,0.00000,default
instance_n15_r20_d20_3.txt,2,colgen-ext,15,3,0,371.959,194.000,1,Optimal,0.00000,default
instance_n10_r10_d30_4.txt,2,colgen-ext,10,1,0,1027.230,79.675,2,Optimal,0.00000,default
instance_n10_r5_d20_4.txt,2,colgen-ext,10,7,0,2.535,268.000,1,Optimal,0.00000,default
instance_n15_r10_d5_4.txt,2,colgen-ext,15,9,0,3.541,271.000,1,Optimal,0.00000,default
instance_n10_r30_d5_3.txt,2,colgen-ext,10,4,0,0.671,194.000,1,Optimal,0.00000,default
instance_n10_r20_d5_0.txt,2,colgen-ext,10,2,0,0.712,213.000,2,Optimal,0.00000,default
instance_n15_r30_d5_2.txt,2,colgen-ext,15,5,0,2.711,185.000,1,Optimal,0.00000,default
instance_n15_r20_d5_1.txt,2,colgen-ext,15,3,0,2.434,196.000,1,Optimal,0.00000,default
instance_n15_r30_d30_0.txt,2,colgen-ext,15,1,0,193.737,100.000,1,Optimal,0.00000,default
instance_n10_r5_d30_2.txt,2,colgen-ext,10,1,0,72.319,119.224,2,Optimal,0.00000,default
instance_n10_r10_d20_2.txt,2,colgen-ext,10,7,0,5.291,149.000,1,Optimal,0.00000,default
instance_n15_r10_d20_3.txt,2,colgen-ext,15,8,0,37.751,258.000,1,Optimal,0.00000,default
instance_n5_r30_d10_1.txt,2,colgen-ext,5,1,0,0.033,17.000,1,Optimal,0.00000,default
instance_n15_r30_d30_2.txt,2,colgen-ext,15,6,0,80.614,243.000,1,Optimal,0.00000,default
instance_n10_r5_d30_0.txt,2,colgen-ext,10,6,0,4.967,116.000,1,Optimal,0.00000,default
instance_n10_r20_d20_4.txt,2,colgen-ext,10,3,0,26.431,118.030,4,Optimal,0.00000,default
instance_n15_r5_d5_3.txt,2,colgen-ext,15,6,0,3.671,458.000,1,Optimal,0.00000,default
instance_n10_r30_d20_1.txt,2,colgen-ext,10,7,0,2.805,117.000,1,Optimal,0.00000,default
instance_n5_r30_d5_1.txt,2,colgen-ext,5,3,0,0.006,15.000,1,Optimal,0.00000,default
instance_n15_r10_d5_0.txt,2,colgen-ext,15,1,0,17.675,346.307,3,Optimal,0.00000,default
instance_n10_r5_d10_4.txt,2,colgen-ext,10,7,0,1.825,180.000,1,Optimal,0.00000,default
instance_n15_r20_d10_3.txt,2,colgen-ext,15,3,0,52.780,227.010,5,Optimal,0.00000,default
instance_n15_r5_d5_1.txt,2,colgen-ext,15,1,0,7.079,272.285,4,Optimal,0.00000,default
instance_n5_r20_d30_2.txt,2,colgen-ext,5,3,0,6.390,92.000,1,Optimal,0.00000,default
instance_n15_r5_d20_3.txt,2,colgen-ext,15,9,0,175.070,226.000,1,Optimal,0.00000,default
instance_n5_r20_d5_0.txt,2,colgen-ext,5,2,0,0.216,39.000,1,Optimal,0.00000,default
instance_n15_r30_d20_0.txt,2,colgen-ext,15,8,0,8.985,201.000,1,Optimal,0.00000,default
instance_n15_r20_d10_1.txt,2,colgen-ext,15,4,0,57.707,131.000,1,Optimal,0.00000,default
