slurm-13210577.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,4,0.000000,CG,Optimal,Proved,1,49,839.673,6.5111,596.68,-9571,-9571,1.00011e-08,9.57201e-07,-9544.97,167.653,,0.43,16.00
slurm-13210578.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,1,10,20,4,0.000000,CG,Optimal,Proved,1,49,832.609,6.46081,591.055,-9571,-9571,1.00011e-08,9.57201e-07,-9544.97,167.653,,0.46,16.00
slurm-13210579.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,4,inf,STD,Optimal,Proved,0,11,50.8934,0.243676,49.9895,-9571,-9570.99,0.000115811,0.0110843,-9314.93,653.921,,0.00,16.00
slurm-13210580.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,5,0.000000,CG,Optimal,Proved,1,176,9619.21,6052.26,3363.48,-9571,-9571,4.45989e-06,0.000426856,-9564.43,75.1266,,77.54,16.00
slurm-13210581.out,iteration,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,1,10,20,5,0.000000,CG,Optimal,Proved,1,201,6090.04,2713.11,3114.02,-9571,-9415,1.65693,156,-9565.5,67.105,,93.11,16.00
slurm-13210582.out,iteration,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,5,inf,STD,Optimal,Proved,0,320,4515.52,2210.23,1786.13,-9571,-9415,1.65693,156,-9567.22,55.1627,,99.07,16.00
slurm-13210583.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,10,0.000000,CG,Infeasible,TimeLimit,1,9,10822.3,10441.9,379.949,-9571,-8109,18.0294,1462,-8976.22,1360.49,,46.17,16.00
slurm-13210584.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,1,10,20,10,0.000000,CG,Optimal,Proved,1,17,414.375,3.26102,409.428,-8557,-8557,1.27544e-13,1.09139e-11,-9259.55,816.602,,0.20,16.00
slurm-13210585.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__3.txt,0,10,20,10,inf,STD,Optimal,Proved,0,62,187.997,19.7711,148.521,-8557,-8557,1.36963e-06,0.000117199,-9309.44,487.743,,0.00,16.00
slurm-13210586.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,0,10,20,4,0.000000,CG,Optimal,Proved,1,2,46.1687,0.036933,46.106,-8543,-8543,1.17055e-06,0.0001,-5280,0,,0.00,16.00
slurm-13210587.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,1,10,20,4,0.000000,CG,Optimal,Proved,1,2,46.3021,0.093408,46.1828,-8543,-8543,1.17055e-06,0.0001,-5280,0,,0.00,16.00
slurm-13210588.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,0,10,20,4,inf,STD,Optimal,Proved,0,37,266.606,4.5815,254.966,-8543,-8543,2.50007e-05,0.00213581,-8501.45,227.039,,0.00,16.00
slurm-13210589.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,0,10,20,5,0.000000,CG,Optimal,Proved,1,66,2163.47,11.9267,2124.98,-8543,-8543,4.90308e-06,0.00041887,-8524.7,146.045,,9.37,16.00
slurm-13210590.out,result,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,1,10,20,5,0.000000,CG,Optimal,Proved,1,66,1991.59,11.7716,1953.95,-8543,-8543,4.90308e-06,0.00041887,-8524.7,146.045,,9.40,16.00
slurm-13210591.out,iteration,/home/utr_lefebvre/AE-using-column-generation-in-column-and-constraint-generation/code/GAP/data/to-run/instance_F10_C20__R200__4.txt,0,10,20,5,inf,STD,Optimal,Proved,0,320,5274.03,2575.21,2155.52,-8543,-8520,0.269953,23,-8539.29,53.0209,,95.28,16.00
